x0,x1,label,bpm,min_maj
18.398722,-6.108997,b'Armind',b'130-',b'Min'
1.2197039,-9.788294,b'Coldharbou',b'131-136',b'Min'
1.8990906,-9.598865,b'Coldharbou',b'131-136',b'Min'
17.215673,-5.1299124,b'Armind',b'131-136',b'Min'
5.4113555,-10.740819,b'Coldharbou',b'131-136',b'Min'
-16.006218,7.900181,b'FSOE',b'131-136',b'Min'
-16.85161,5.5570803,b'Pure',b'131-136',b'Min'
-15.341989,18.905703,b'FSOE',b'137+',b'Min'
-7.887169,17.434145,b'WAO138',b'137+',b'Min'
-8.761335,18.91877,b'WAO138',b'137+',b'Min'
-12.337936,10.613997,b'FSOE',b'137+',b'Min'
-11.6823,16.495043,b'FSOE',b'137+',b'Min'
-12.526653,19.583868,b'FSOE',b'137+',b'Min'
-3.0092793,21.878963,b'WAO138',b'137+',b'Min'
-19.133072,10.710228,b'Pure',b'137+',b'Min'
-14.832373,9.990054,b'Pure',b'137+',b'Min'
-0.12747683,18.941038,b'WAO138',b'137+',b'Min'
-6.413274,21.173576,b'WAO138',b'137+',b'Min'
-1.5754436,21.068165,b'WAO138',b'137+',b'Min'
-11.385665,19.094065,b'WAO138',b'137+',b'Min'
-8.120983,18.465769,b'WAO138',b'137+',b'Min'
-15.175328,11.8947315,b'WAO138',b'137+',b'Min'
-10.651983,18.334509,b'WAO138',b'137+',b'Maj'
-16.122917,18.569593,b'FSOE',b'137+',b'Maj'
-5.9537168,-6.8413634,b'Coldharbou',b'130-',b'Min'
6.174202,-11.575839,b'Coldharbou',b'130-',b'Min'
-6.455702,-3.04313,b'Pure',b'130-',b'Min'
7.144167,-26.115503,b'Anjunabeat',b'130-',b'Min'
18.712795,-1.775211,b'Armind',b'130-',b'Min'
12.059428,-20.671791,b'Anjunabeat',b'130-',b'Min'
10.856654,-10.812542,b'Anjunabeat',b'130-',b'Min'
11.847856,-19.735239,b'Anjunabeat',b'130-',b'Min'
10.877534,-10.459907,b'Anjunabeat',b'130-',b'Min'
11.472441,-5.3258214,b'Armind',b'130-',b'Min'
1.6653703,-7.2671733,b'Coldharbou',b'130-',b'Min'
-3.62442,-7.081814,b'Coldharbou',b'130-',b'Min'
-6.6482606,-4.516967,b'Pure',b'130-',b'Min'
-3.5475483,-8.26317,b'Coldharbou',b'131-136',b'Min'
12.699361,-6.746714,b'Armind',b'131-136',b'Min'
4.5851674,-5.0039277,b'Coldharbou',b'131-136',b'Min'
19.606764,-1.9735357,b'Armind',b'131-136',b'Min'
-15.790595,17.378267,b'FSOE',b'137+',b'Min'
-3.4421136,-4.8899465,b'Coldharbou',b'137+',b'Min'
-17.647867,15.463452,b'FSOE',b'137+',b'Min'
-16.828053,9.758969,b'Pure',b'137+',b'Min'
-16.501593,19.2124,b'FSOE',b'137+',b'Min'
-16.288137,6.8747563,b'Pure',b'137+',b'Min'
-20.061865,11.805149,b'FSOE',b'137+',b'Min'
-17.255808,19.222614,b'FSOE',b'137+',b'Min'
-19.628603,9.265581,b'Pure',b'137+',b'Min'
-3.169531,-9.317396,b'Coldharbou',b'130-',b'Maj'
10.995263,-23.412693,b'Anjunabeat',b'131-136',b'Maj'
-3.1696112,-5.0745807,b'Pure',b'131-136',b'Maj'
-14.180249,5.2241716,b'Pure',b'131-136',b'Maj'
-17.003735,10.141166,b'FSOE',b'131-136',b'Maj'
-11.035714,13.844756,b'FSOE',b'137+',b'Maj'
-16.768372,14.527349,b'FSOE',b'137+',b'Maj'
-4.4273477,-7.924364,b'Coldharbou',b'130-',b'Min'
14.697239,-2.1706684,b'Armind',b'130-',b'Min'
11.757745,-25.221075,b'Anjunabeat',b'130-',b'Min'
17.94223,-2.3722198,b'Armind',b'130-',b'Min'
8.463054,-26.517532,b'Anjunabeat',b'130-',b'Min'
11.235428,-3.2630606,b'Anjunabeat',b'130-',b'Min'
6.519831,-23.504278,b'Anjunabeat',b'130-',b'Min'
-4.3116627,-8.826058,b'Coldharbou',b'130-',b'Min'
8.75822,-21.22341,b'Anjunabeat',b'130-',b'Min'
13.196594,-23.87448,b'Anjunabeat',b'130-',b'Min'
7.3801317,-27.24627,b'Anjunabeat',b'130-',b'Min'
9.682262,-10.222635,b'Anjunabeat',b'130-',b'Min'
11.306619,-9.471048,b'Anjunabeat',b'130-',b'Min'
0.54425305,-9.261857,b'Coldharbou',b'130-',b'Min'
-1.4483491,-6.598935,b'Coldharbou',b'130-',b'Min'
1.91043,-6.158852,b'Coldharbou',b'130-',b'Min'
16.387188,-3.8079813,b'Armind',b'130-',b'Min'
10.3055105,-8.813511,b'Anjunabeat',b'130-',b'Min'
5.256013,-9.908802,b'Coldharbou',b'131-136',b'Min'
12.019405,-26.671108,b'Anjunabeat',b'131-136',b'Min'
1.3377506,-8.340182,b'Coldharbou',b'131-136',b'Min'
17.96907,-7.3565135,b'Armind',b'131-136',b'Min'
-0.09180092,-5.8132167,b'Coldharbou',b'131-136',b'Min'
-4.9841223,-8.223204,b'Coldharbou',b'131-136',b'Min'
-13.56006,3.3961034,b'Pure',b'131-136',b'Min'
3.999097,-7.7804565,b'Coldharbou',b'131-136',b'Min'
-10.400956,12.622202,b'FSOE',b'131-136',b'Min'
-10.0782,12.454438,b'Pure',b'131-136',b'Min'
0.31945348,-3.743557,b'Coldharbou',b'131-136',b'Min'
-12.698805,3.553051,b'Pure',b'131-136',b'Min'
-3.1611688,19.817513,b'WAO138',b'131-136',b'Min'
-14.95917,15.708157,b'FSOE',b'131-136',b'Min'
-20.396984,13.731479,b'FSOE',b'137+',b'Min'
-4.5123496,22.306349,b'WAO138',b'137+',b'Min'
-12.735998,14.86463,b'Pure',b'137+',b'Min'
-12.410946,5.890387,b'Pure',b'137+',b'Min'
-20.188309,9.83965,b'Pure',b'137+',b'Min'
-14.720828,6.107479,b'Pure',b'137+',b'Min'
-14.92552,5.453184,b'Pure',b'137+',b'Min'
-15.53377,20.311214,b'FSOE',b'137+',b'Min'
-11.3653555,14.181892,b'FSOE',b'137+',b'Min'
-7.758053,12.981313,b'FSOE',b'137+',b'Min'
-15.729171,9.643999,b'FSOE',b'137+',b'Min'
-12.165173,19.860262,b'FSOE',b'137+',b'Min'
-2.4250662,18.24804,b'WAO138',b'137+',b'Min'
-4.0885277,22.424442,b'WAO138',b'137+',b'Min'
-4.0641174,21.087254,b'WAO138',b'137+',b'Min'
-0.09661709,17.933064,b'WAO138',b'137+',b'Min'
-1.9360309,22.516367,b'WAO138',b'137+',b'Min'
-13.809795,18.846315,b'FSOE',b'137+',b'Min'
-21.620123,8.366911,b'Pure',b'137+',b'Min'
-20.37832,13.278462,b'FSOE',b'137+',b'Min'
-2.641365,20.883669,b'WAO138',b'137+',b'Min'
-0.23759183,-3.0995302,b'Coldharbou',b'137+',b'Min'
-6.959252,20.239567,b'WAO138',b'137+',b'Min'
-6.9637623,-2.9469354,b'Pure',b'130-',b'Maj'
-2.5897255,-6.7774625,b'Pure',b'130-',b'Maj'
-13.781875,6.213976,b'Pure',b'131-136',b'Maj'
0.40682232,-4.5500245,b'Coldharbou',b'131-136',b'Maj'
-17.674568,6.24534,b'Pure',b'131-136',b'Maj'
-14.215366,18.310654,b'FSOE',b'137+',b'Maj'
